rest_name,rest_url,wlyyy,rest_reviews,cuisine,pricing,safety,rest_lastrev,rest_prevtolast,rest_rating,rev_rest,author,rev_title,rev_text,rev_ratingdate,rev_visitdate,author_reviews,author_likes,rev_rating
Chettinadu,https://www.tripadvisor.com/Restaurant_Review-g187147-d2392323-Reviews-Chettinadu-Paris_Ile_de_France.html,,69 reviews,Open Now,$,,“Authentic south Indian food”,"“Excellent Dosa, Authentic South Indian...”",3.5,Chettinadu,TravelW_09,Good Indian food in Paris,"After spending complete day roaming around the city, we finally decided to have our dinner. We were very fortunate and found this restaurant. We thoroughly enjoyed our dinner. Try it...","Reviewed February 22, 2019 ",Date of visit: December 2018,65 reviews,1  ,
1. ASPIC,https://www.tripadvisor.com/Restaurant_Review-g187147-d9806534-Reviews-ASPIC-Paris_Ile_de_France.html,MICHELIN,"1,079 reviews","French, European",$$$$,Taking safety measures,“Excellent experience”,“You can’t miss ASPIC when in Paris”,5.0,ASPIC,288Elenar,You can’t miss ASPIC when in Paris,"The food was delicious. Such great combinations of flavors and textures and what is more important to me, new combinations that I would have never thought of! We will not forget the “Carrelet” fish with chorizo, Jerusalem artichoke.... , the salsifies, the lobster and the pre-dessert and dessert.
On top of this, I love the atmosphere: Small, easy, very simple, so that you can only focus on the food and service. These are my type of
Restaurants!
ASPIC, congratulations!","Reviewed December 19, 2021 ",Date of visit: December 2021,,,
2. Origines,https://www.tripadvisor.com/Restaurant_Review-g187147-d19244431-Reviews-Origines-Paris_Ile_de_France.html,MICHELIN,91 reviews,"French, European",$$$$,,“Great for a Business lunch or an evening...”,“Great Meal”,5.0,Origines,L5786UFdavidl,Great Meal,"Really enjoyed the tasting menu in this modern but warm restaurant in the 8th arr, near our hotel; elegantly presented, creative and delicious; better than some of the michelin starred restaurants we ate at during the same week.",Reviewed 1 week ago ,Date of visit: January 2022,7 reviews,,
3. Boutary,https://www.tripadvisor.com/Restaurant_Review-g187147-d9783452-Reviews-Boutary-Paris_Ile_de_France.html,MICHELIN,"1,289 reviews","French, Seafood",$$$$,Taking safety measures,“Expect greatness”,“Flavourfull menu - great wine pairing”,5.0,Boutary,Frank-Nick,Flavourfull menu - great wine pairing,"We treated ourselfes with the 7 couse menu with wine pairing. I strongly recomend to opt for the pairing. The wines were very diverse, pleasent and a very good match to the food. We had the classic pairing and the advanced one.
A highlight was the staff (Frédéric) - super helpful. We were very spontanious (due to COVID) and tried various restaurants by eMail to see, if we (4pax) find a place for fine dining. But only Boutary contacted us - almost immediately - telling us, that it is fully booked. BUT if wished, we could be placed on a waiting list. And then (maybe thanks to COVID again) at lunchtime that a cancellation had been made, and they are able to cater us. Super guest oreinted service.
Once more: the food was very delicious, and I regret that I did not opt for the Caviar tasting... Well a reason to revisit!",Reviewed 5 days ago ,Date of visit: January 2022,,,
4. Bistrot Instinct,https://www.tripadvisor.com/Restaurant_Review-g187147-d16846235-Reviews-Bistrot_Instinct-Paris_Ile_de_France.html,MICHELIN,250 reviews,"French, European",$$ - $$$,Taking safety measures,“A small gem”,“Wonderful Restaurant”,5.0,Bistrot Instinct,rprice330v8,Wonderful Restaurant,"Extremely wonderful food, drinks, atmosphere, and staff. The menu is well curated and food expertly prepared. I will eat here every time I'm in Paris.",Reviewed 1 week ago ,Date of visit: January 2022,4 reviews,1  ,
5. Pur' - Jean-Francois Rouquette,https://www.tripadvisor.com/Restaurant_Review-g187147-d719852-Reviews-Pur_Jean_Francois_Rouquette-Paris_Ile_de_France.html,MICHELIN,"1,195 reviews","French, European",$$$$,Taking safety measures,“Exquisite food - impeccable service”,“One of the top Ten Restaurants in Paris...”,5.0,Pur' - Jean-François Rouquette,chemabas,One of the top Ten Restaurants in Paris! Astonishing ! Worth Visiting!,"Outstanding ! No words ! Really worth visiting ! One of the top ten restaurants in Paris that continues surprising ; amazing cuisine, impeccable and fresh service , innovative patisserie = Just Perfect!More",Reviewed 6 days ago ,Date of visit: February 2022,41 reviews,,
Cafe Coco,https://www.tripadvisor.com/Restaurant_Review-g187147-d14971542-Reviews-Cafe_Coco-Paris_Ile_de_France.html,,16 reviews,Open Now,$$$$,,,"“Great place, great African food. Friendly...”",3.5,Café Coco,Barra C,"Great place, great African food. Friendly warm service",We stumbled on this restaurant and decided to give it a go. We were greeted by the owner who was extremely laid back and greeted us with open arms. We tried the 1/2 chicken with plantains..was surprisingly amazing! We had a Pina Colada and beer. We weren’t disappointed. This was a great laid back place to try a new cuisine. The owner made the experience. Great knowledge of the menu and good drinks. The restaurant speciality is Cameroon food. It was an enjoyable experience. Recommended.,"Reviewed June 12, 2019 ",Date of visit: June 2019,,,
6. La Table de Colette,https://www.tripadvisor.com/Restaurant_Review-g187147-d19318900-Reviews-La_Table_de_Colette-Paris_Ile_de_France.html,MICHELIN,518 reviews,"French, European",$$$$,Taking safety measures,“Delicious and unique dishes”,“Fantastic family dinner”,5.0,La Table de Colette,Odyssey14773170944,Shambolic customer service,I booked the restaurant for my wife’s 50th birthday and paid a large deposit with a 48 hour cancellation period. The day before I received an email asking to confirm the booking which I did. Ten minutes later an email came through with the table cancelled and no explanation not even a phone call. I then spent half an hour calling to try and get through to find out why. This was arrogant and shambolic treatment of customers especially when I had to scramble around Paris trying to find an alternative. If I’d cancelled they would have charged me a full cancellation charge. YET when it happens to the customer there’s no comeback. This is an awful way to do business and as a result I wouldn’t trust them.,Reviewed 3 weeks ago ,Date of visit: January 2022,,,
7. 114 Faubourg,https://www.tripadvisor.com/Restaurant_Review-g187147-d2013853-Reviews-114_Faubourg-Paris_Ile_de_France.html,MICHELIN,"1,790 reviews","French, European",$$$$,Taking safety measures,“A good one star restaurant”,“Excellent food and service”,4.5,114 Faubourg,huranzhijian,Excellent food and service ,"I called the restaurant 20min before noon to book a  table for myself on Christmas as most restaurants are closed that day.

I asked for the 135 euro tasting menu. The starter egg was amazing. 
 Service was smooth and excellent from start to end.","Reviewed January 1, 2022 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/c2/6a/ac/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""566389420"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/c2/6a/ad/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""566389421"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/c2/6a/ae/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""566389422"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/c2/6a/af/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""566389423"" /> >",3 reviews,,
8. Aux Enfants Gates,https://www.tripadvisor.com/Restaurant_Review-g187147-d4783611-Reviews-Aux_Enfants_Gates-Paris_Ile_de_France.html,MICHELIN,508 reviews,Open Now,$$ - $$$,,“Fantastic Restaurant!”,“Amazing dinner!”,4.5,Aux Enfants Gates,AmericanInParis2,Amazing dinner!,"We had a wonderful dinner in this cozy little restaurant. Everything was fresh, flavorful, and perfectly cooked - poached egg, leeks with scallops, tender codfish accompanied by potates, pork with lentils, chestnut meringue, and mango cheesecake. All delicious! Friendly waiter who welcomed us warmly and explained each dish in detail. Merci pour un excellent repas !","Reviewed December 18, 2021 ",Date of visit: November 2021,,,
