Title,Info,badgetext,ratingdate,partial_entry,View,Number,Field2,Field3
Affordable and Comfortable for an Excellent Meal,kevinboss816,5 reviews,"Reviewed September 15, 2021 ","Excellent meal and service for Americans in Paris. Went for lunch and did the tasting menu and wine pairing. Everything was great, especially the tuna dish. Really enjoyed the casual atmosphere for such a high end restaurant.",Date of visit: September 2021,,,"<span class=""ui_bubble_rating bubble_50""></span>"
great for vegetarians,Turner S,761 reviews,"Reviewed August 14, 2021 ","Have been lucky enough to enjoy their food a few times now and I recommend for vegetarians looking for a quality Michelin experience.  Not all dishes were vegetarian, but they can easily adjust the menu if you ask.  They are very accommodating of allergies and...preferences. They made broccoli smell like steak and taste better than broccoli ever has before for me.  At the end of the day, I prefer my meat, but for those who don’t I think you will enjoy Septime.  The wine pairings leaned too heavily of natural wines for my liking, but I did enjoy the orange wines.  Both seem to be trending in Paris in 2021.More",Date of visit: July 2021,,"<span class=""ui_bubble_rating bubble_40""></span>",
Spend your money somewhere else.,758shelinas,24 reviews,"Reviewed August 6, 2021 ","We have visited Septime last Tuesday after waiting for a long time. We had this restaurant on our list for forever. We went for a tasting menu with a bottle of wine. We went on a big food trip visiting Ogata, PavYllon, Septime and restaurant...A.T. After having seen the wine list we ordered a bottle of white whereas the waitress came with a bottle of red. No problem, changed in it time. Then the 7 course meal started and that is where it went wrong. The speed of service (starting at 21.20) was way too fast and noticing the hovering service over our empty (or not) plates was beyond polite. As service was already that bad (did not refill our wine glasses once as they are so focused on the empty plates). The food is so-so, when talking about bistro, if we talk about Michelin starred restaurants we aren’t even close to the expectation nor quality of food. We left at 23.00 after finishing the meal at 22.45. We mentioned the fact of speed of service and lack of service. the restaurant manager started to disagree as she told us that this is what the chef wants. Let me be clear about one thing: speed of service is for the host(ess) and not for the chef. We will never come back, what an awful experience with a bill of at least €200.- (just food). This is not a Michelin starred restaurant. Don’t visit. Go to Bouillon Chartier if you want to eat fast. Service is superb there.More",Date of visit: August 2021,2  ,"<span class=""ui_bubble_rating bubble_10""></span>",
Spectacular - our high expectations were met,bluesky2020a,82 reviews,"Reviewed July 27, 2020 ","We got a reservation at Septime a couple of months after Covid lockdown, after having had in the past not much luck at getting a reservation. We had pretty high expectations, because this place is extremely hyped, but we were very pleasantly surprised that those...expectations were met. The food was spectacular and hands down the best we've had in France in our year here. Highlights were creamed artichoke with blanched almonds, truffle and sumac, an aubergine dish with mushroom jus and cuttlefish, a vegetarian cabbage main with flowers and preserved peppers, and a verbena flower ice cream with honey. An excellent fancy option in France if you are vegetarian. Yum!More",Date of visit: July 2020,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Groumet as I'm used to,Sinyanchway,4 reviews,"Reviewed March 10, 2020 ","We were invited here by our business parter and were surprised by the variety of the French kitchen. I knew that they're special, but this has been excellent. We had several dished of fish, sea food and meat. 
Nicely decorated and made on the point....From fish to meat, everything was like butter and easy to eat and enjoy.More",Date of visit: February 2020,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"If you can get a table, you're in for the meal of a lifetime",Sophie F,31 reviews,"Reviewed February 21, 2020 ","Took me years to secure a reservation, but it did not disappoint, even with all the build-up. Very interesting dishes, using ingredients that are so simple into creating truly mind-opening food. Would recommend to anyone in a heartbeat. Could use better wines, some more meat...and we did not get butter (no one did on the night we were there), but apart from that, it is truly everything advertised and more.More",Date of visit: February 2020,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Left disappointed by high expectation,Blaki_devi,87 reviews,"Reviewed February 21, 2020 ","After reading earlier reviews and articles on this restaurant, we came in expecting to be wowed by the flavours of the dishes. Unfortunately, despite the amazing and tentative service the actual dishes were uninspiring and unimpressive. The wine paring was awful, looking at some of...the wines of vino, our table discovered most of the pairings served to us came from the bottom 1%. Personally, this is one of the poorer performing Michelin restaurants I have been to. Although, I can say that the menu changes seasonally and it may have been by chance that there’s been a hiccup in February.More",Date of visit: February 2020,2  ,"<span class=""ui_bubble_rating bubble_20""></span>",
Unpretentious Michelin star restaurant!,Dr_Taniman,180 reviews,"Reviewed February 11, 2020 ","Totally unpretentious, with really friendly and professional staff. Simply industrial ambiance. The food is great and enjoyable. Very fair prices for a Michelin star place. Wine pairing has room for improvement. Overall... don’t miss this one!",Date of visit: February 2020,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
World Class Restaurant,Jonathan S,9 reviews,"Reviewed February 7, 2020 ","We arrived about ten minutes late for our reservation and received a very warm welcome and seated right away. The space is modern, well arranged and modern music played at a comfortable level in the background. Most of the team spoke perfect English and did...a wonderful job explaining each dish and the wine paired with it.  Every course was delicious, well presented and well portioned. My wife and I have tried to eat venison dozens of times, without success,and here we had sugar cured, venison tartare and it melted in our mouths. This was our best meal in Paris and well worth the price.More",Date of visit: February 2020,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Fabulous,Tal G,12 reviews,"Reviewed February 3, 2020 ","Came for lunch with my 15-year old son. Loved the ambiance and decor, restaurant had a sunny and inviting vibe, worn wooden tables and plaster-peeling walls. Food was delicious and thoughtful, enjoyed everything we had.",Date of visit: January 2020,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Best restaurant in Paris,theboyfromamsterdam,20 reviews,"Reviewed January 28, 2020 ","Sometimes you just enter a place and you know it's right. Friendly reception, elegant simplicity. No bling, just simple, nice and good. Every plate a pleasure, planted forever in my memory. Impeccable wines. The barbecued chicory with paper-thick lardo served with a bell-pepper and mussel...More",Date of visit: December 2019,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Amazing service almost outshines the food,towertobridgetours,25 reviews,"Reviewed December 5, 2019 ","The small blue building on a one way street is hard to find with no real sign and address, but try a little harder and the results are worth it. Each dish opens the palette to a world of adventure. We started with a small...More",Date of visit: December 2019,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
A rare piece of art,aroundtheworld48hour,10 reviews,"Reviewed December 2, 2019 ","I am in Paris a fewtimes every year, and after having tried many times to get a reservation at ""Septime"" unsuccessfully, it finally worked out last week. Paris is a city blessed with quite a few excellent restaurants, so one must wonder how the incredible...More",Date of visit: December 2019,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Special dining experience,jsr19,16 reviews,"Reviewed November 29, 2019 ","We planned ahead and grabbed a reservation for one of our three nights in Paris, and I am so glad we did! Upon arriving we were welcomed and guided to our table in a nearly empty restaurant, within a short bit of time every table...More",Date of visit: October 2019,,"<span class=""ui_bubble_rating bubble_50""></span>",
Decent but not worth all the hype,hungryblackman,137 reviews,"Reviewed November 14, 2019 ","The wonderful owners of the hotel we’ve stayed in over the last few years were able to get my wife and I a reservation at Septime. It can be quite difficult getting a reservation here, so when the hotel staff were able to do so,...More",Date of visit: November 2019,5  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Wonderful 65th birthday,Allen H,62 reviews,"Reviewed November 14, 2019 ",The food and wine tasting was a fantastic experience. My daughters and myself celebrated my wife's 65th birthday this week. We had 32 glasses of paired wines for four people and the composite of all the different wines and/or liquors was perfectly complemented to the...More,Date of visit: November 2019,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Plan your reservation,johntmurray,25 reviews,"Reviewed November 5, 2019 ",This was my second visit; did lunch last November; dinner this time; people said impossible to book; difficult not impossible; just be aware of the time difference and book three weeks before you want to attend at the beginning of their work day in Paris;...More,Date of visit: October 2019,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Fantastic Meal...Worth Getting Up in the Night to get a Reservation!,emandm21,2 reviews,"Reviewed October 27, 2019 ","To begin with, Septime's website doesn't totally explain how the reservation system works, which was a little confusing.  You actually can only get lunch reservations online and must call the restaurant for dinner reservations.  Their phones open at 10 am Paris time (3 weeks in...More",Date of visit: October 2019,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Great Experience,collierje,189 reviews,"Reviewed October 6, 2019 ","I'll echo everyone else and agree that reservations are sort of a pain, especially since they have moved to #15 in the world. While I thought it was quite good, I'm not sure it is worthy of that lofty ranking.  The service and space were...More",Date of visit: September 2019,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Great Experience,collierje,189 reviews,"Reviewed October 6, 2019 ","I'll echo everyone else and agree that reservations are sort of a pain, especially since they have moved to #15 in the world. While I thought it was quite good, I'm not sure it is worthy of that lofty ranking.  The service and space were...More",Date of visit: September 2019,1  ,,
Good. Not sure it is quite worth the effort/critical response.,robberbride,11 reviews,"Reviewed October 5, 2019 ","Getting a reservation here is a challenge and frankly I’m not sure it was worth it. Some dishes were truly amazing but overall it was uneven. Service is unpretentious which was nice, and the space is welcoming but since we were there for the food,...More",Date of visit: September 2019,5  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Exceptional experience,Laura D,15 reviews,"Reviewed September 22, 2019 ","We went to Septime for lunch, and throughly enjoyed it. Although it is currently considered to be #15 in the world, it has a very warm and welcoming casual atmosphere (not at all pretentious). All the staff were very helpful and spoke excellent English. They...More",Date of visit: August 2019,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Perfect lunch !,juju a,3 reviews,"Reviewed September 21, 2019 ",Wonderful experience and great food . The atmosphere is nice i would definitely come again and recommend this restaurant to my friends.,Date of visit: September 2019,,"<span class=""ui_bubble_rating bubble_50""></span>",
An excellent place if you can get a reservation,Juan Manuel V,82 reviews,"Reviewed September 21, 2019 ","We had the fortune of being able to get a reservation at this highly acclaimed and reviewed restaurant in Paris, France.   Currently #15 in the world (whatever that means) in the Top 50 Restaurant list, and 1 Michelin Star, it is certainly one to look...More",Date of visit: September 2019,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Inadequate prenotation system ,664guiag,2 reviews,"Reviewed September 5, 2019 ",I have been very careful about booking deadline but their site didn't work and the bistro was not reachable by phone for all August. They kept us in waiting list (with credit card provided and 190€ fee in case of no-show) till the day before...More,Date of visit: September 2019,2  ,"<span class=""ui_bubble_rating bubble_10""></span>",
Superlative,KarenAustin,145 reviews,"Reviewed August 10, 2019 ","We went for lunch.  At the advice of the couple finishing their meal at the table beside us, we did the wine pairing with the multi-course meal.  What an excellent suggestion— one we pass on here.  I can’t say enough good things: excellent, imaginative food;...More",Date of visit: June 2019,4  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"A super chill fine dining experience, BUT the restaurant has NO AIR CONDITIONING!!!",maodohsiao,125 reviews,"Reviewed August 1, 2019 ","We went the day before France had the record breaking temperature of 42.7C (109F).  When we started our meal at 7.30PM, it was 39C (102F), and when we ended our meal at 10, it was 37C (98.6F).  It was SO unbelievably hot that it took...More",Date of visit: July 2019,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
A down to earth world class experience!,Allison T,16 reviews,"Reviewed June 30, 2019 ",As great luck would have it my friend was able to score a very tough-to-get reservation! From the minute we sat down the unique and delicious dishes along with the incredible wines they recommended were served with a warm smile and a generous spirit. Trés...More,Date of visit: June 2019,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
A Great Place,Verneuil13,320 reviews,"Reviewed June 24, 2019 ","After trying several times to get a table, a friend visiting Paris kindly got one and invited me. I do understand their success.Everything was perfect. The set menu is simply marvelous, light and with the right portions.An incredible flavor's evolution with a sans faute. Service...More",Date of visit: June 2019,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
A Great Place,Verneuil13,320 reviews,"Reviewed June 24, 2019 ","After trying several times to get a table, a friend visiting Paris kindly got one and invited me. I do understand their success.Everything was perfect. The set menu is simply marvelous, light and with the right portions.An incredible flavor's evolution with a sans faute. Service...More",Date of visit: June 2019,1  ,,
Worth the Effort,lexeth,26 reviews,"Reviewed June 23, 2019 ",Not easy to get a reservation but absolutely worth the effort. So yummy. Every course was a creative and interesting. A wonderful experience.,Date of visit: June 2019,3  ,,"<span class=""ui_bubble_rating bubble_50""></span>"
<3 Septime,elbows_inLA,2 reviews,"Reviewed June 16, 2019 ","We stalked reservations for months - as soon as we confirmed our dates in Paris. We were only able to snag lunch reservations, but I actually think that worked out in our favor. The wait was worth it - this place delivered. Every plate was...More",Date of visit: July 2018,,"<span class=""ui_bubble_rating bubble_50""></span>",
I will always remember Septime!,holland23,64 reviews,"Reviewed June 7, 2019 ","Possibly my favorite dining experience ever. I made sure to get up exactly at 4am, exactly 21 days before the day we were to dine to set my reservation and it was so worth it. The staff was extremely friendly and approachable. The restaurant space...More",Date of visit: May 2019,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"six plates, two great and four blahhh",Bonimba55,128 reviews,"Reviewed June 4, 2019 ","I was really disappointed, the place, the ambiance, the service and the wine was was very good but .... the rest was not worth it. 
What can I say, the six plates were very inventive but beside the tuna tartare and the fish main plate...More",Date of visit: May 2019,,"<span class=""ui_bubble_rating bubble_20""></span>",
Relaxed yet refined dining,RJLev,34 reviews,"Reviewed May 29, 2019 ","Having woken up at 4am 3 weeks prior to book the reservation, I was hopeful that Septime would not disappoint.  To jump to the conclusion, it did not!

The food and service was spectacular, and the dishes that were brought were refined and elevated tastes...More",Date of visit: May 2019,,"<span class=""ui_bubble_rating bubble_50""></span>",
Stunning Food and Service,MadamJosephine,762 reviews,"Reviewed May 26, 2019 ","It was a rocky start, we arrived early and were told in no uncertain manner to leave. The restaurant only opens at 7.30pm so don't arrive early or come before your booking time.  We had an extremely charming young lady serve us, who recommended an...More",Date of visit: May 2019,,"<span class=""ui_bubble_rating bubble_50""></span>",
Worth the hype? YES!,heatherlyrock,37 reviews,"Reviewed May 23, 2019 ",We were worried that Septime would be overhyped because it made all the lists. But we were surprised that the hype was well deserved.  We had a great lunch experience and enjoyed all the dishes. They were skillfully executed.  The common zucchini and the unusual...More,Date of visit: May 2019,,"<span class=""ui_bubble_rating bubble_50""></span>",
I really wanted to LOVE this restaurant...,deniseVancouver,37 reviews,"Reviewed May 18, 2019 ",I was very excited that I got a lunch reservation after trying hard to get a dinner reservation.  Cute interior.  Acoustics were pretty loud and tables were very close together.  It appeared that the majority of the guests were tourists.  I actually didn't hear any...More,Date of visit: May 2019,4  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Had hoped for more,vacationsy,49 reviews,"Reviewed May 11, 2019 ","Septime is an upscale restaurant that is very proper.  We showed up 10 minutes early and they asked that we leave the restaurant as it wasn’t open.  So we took a walk around the block... in the cold damp weather.  

No menu.  You can pick...More",Date of visit: May 2019,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Had hoped for more,vacationsy,49 reviews,"Reviewed May 11, 2019 ","Septime is an upscale restaurant that is very proper.  We showed up 10 minutes early and they asked that we leave the restaurant as it wasn’t open.  So we took a walk around the block... in the cold damp weather.  

No menu.  You can pick...More",Date of visit: May 2019,2  ,,
Delightful!,Tom115511,16 reviews,"Reviewed May 7, 2019 ","Exquisite, inventive food and creative, extensive wine list. Lovely decor, very professional and friendly service. We had the carte blanche set lunch menu and a very good bottle of orange wine (great recommendation from our waitress). The menu included an incredible amuse bouche, generous amounts...More",Date of visit: May 2019,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Delicious!,Jennifer O,7 reviews,"Reviewed April 27, 2019 ",We had a lovely and absolutely delicious meal at Septime. I also want to commend all the servers--we ate here on the night of the Notre Dame fire which we had just passed in our taxi and were badly shaken up. The restaurant stafff could...More,Date of visit: April 2019,,"<span class=""ui_bubble_rating bubble_50""></span>",
I expected more,ManilaGingersnap,168 reviews,"Reviewed April 22, 2019 ","Went on the waitlist when I realised this was close to Atelier Lumiere where we had tickets for the 2pm.  I got a confirmation the day before and was so happy to try this Top 50 Best Restaurant.

The place is cozy,  decor is very...More",Date of visit: April 2019,,"<span class=""ui_bubble_rating bubble_30""></span>",
"Very good, but probably not worth the price",Cathy R,20 reviews,"Reviewed April 7, 2019 ","We did enjoy our dinner at Septime, but compared with some of the other restaurants in Paris, probably not worth the price tag. Our group of 3 was seated with a group of six at a large table.  I expected that we would have our...More",Date of visit: April 2019,,"<span class=""ui_bubble_rating bubble_40""></span>",
