,title,author,count,ratingdate,text,visitdate,likes,rating,weekday,month
0,Affordable and Comfortable for an Excellent Meal,kevinboss816,5,2021-09-15,"Excellent meal and service for Americans in Paris. Went for lunch and did the tasting menu and wine pairing. Everything was great, especially the tuna dish. Really enjoyed the casual atmosphere for such a high end restaurant.",2021-09-01,0,5.0,Wednesday,September
1,great for vegetarians,Turner S,761,2021-08-14,"Have been lucky enough to enjoy their food a few times now and I recommend for vegetarians looking for a quality Michelin experience.  Not all dishes were vegetarian, but they can easily adjust the menu if you ask.  They are very accommodating of allergies and...preferences. They made broccoli smell like steak and taste better than broccoli ever has before for me.  At the end of the day, I prefer my meat, but for those who don’t I think you will enjoy Septime.  The wine pairings leaned too heavily of natural wines for my liking, but I did enjoy the orange wines.  Both seem to be trending in Paris in 2021.More",2021-07-01,0,4.0,Saturday,August
2,Spend your money somewhere else.,758shelinas,24,2021-08-06,"We have visited Septime last Tuesday after waiting for a long time. We had this restaurant on our list for forever. We went for a tasting menu with a bottle of wine. We went on a big food trip visiting Ogata, PavYllon, Septime and restaurant...A.T. After having seen the wine list we ordered a bottle of white whereas the waitress came with a bottle of red. No problem, changed in it time. Then the 7 course meal started and that is where it went wrong. The speed of service (starting at 21.20) was way too fast and noticing the hovering service over our empty (or not) plates was beyond polite. As service was already that bad (did not refill our wine glasses once as they are so focused on the empty plates). The food is so-so, when talking about bistro, if we talk about Michelin starred restaurants we aren’t even close to the expectation nor quality of food. We left at 23.00 after finishing the meal at 22.45. We mentioned the fact of speed of service and lack of service. the restaurant manager started to disagree as she told us that this is what the chef wants. Let me be clear about one thing: speed of service is for the host(ess) and not for the chef. We will never come back, what an awful experience with a bill of at least €200.- (just food). This is not a Michelin starred restaurant. Don’t visit. Go to Bouillon Chartier if you want to eat fast. Service is superb there.More",2021-08-01,2,1.0,Friday,August
3,Spectacular - our high expectations were met,bluesky2020a,82,2020-07-27,"We got a reservation at Septime a couple of months after Covid lockdown, after having had in the past not much luck at getting a reservation. We had pretty high expectations, because this place is extremely hyped, but we were very pleasantly surprised that those...expectations were met. The food was spectacular and hands down the best we've had in France in our year here. Highlights were creamed artichoke with blanched almonds, truffle and sumac, an aubergine dish with mushroom jus and cuttlefish, a vegetarian cabbage main with flowers and preserved peppers, and a verbena flower ice cream with honey. An excellent fancy option in France if you are vegetarian. Yum!More",2020-07-01,1,5.0,Monday,July
4,Groumet as I'm used to,Sinyanchway,4,2020-03-10,"We were invited here by our business parter and were surprised by the variety of the French kitchen. I knew that they're special, but this has been excellent. We had several dished of fish, sea food and meat. 
Nicely decorated and made on the point....From fish to meat, everything was like butter and easy to eat and enjoy.More",2020-02-01,3,5.0,Tuesday,March
5,"If you can get a table, you're in for the meal of a lifetime",Sophie F,31,2020-02-21,"Took me years to secure a reservation, but it did not disappoint, even with all the build-up. Very interesting dishes, using ingredients that are so simple into creating truly mind-opening food. Would recommend to anyone in a heartbeat. Could use better wines, some more meat...and we did not get butter (no one did on the night we were there), but apart from that, it is truly everything advertised and more.More",2020-02-01,2,5.0,Friday,February
6,Left disappointed by high expectation,Blaki_devi,87,2020-02-21,"After reading earlier reviews and articles on this restaurant, we came in expecting to be wowed by the flavours of the dishes. Unfortunately, despite the amazing and tentative service the actual dishes were uninspiring and unimpressive. The wine paring was awful, looking at some of...the wines of vino, our table discovered most of the pairings served to us came from the bottom 1%. Personally, this is one of the poorer performing Michelin restaurants I have been to. Although, I can say that the menu changes seasonally and it may have been by chance that there’s been a hiccup in February.More",2020-02-01,2,2.0,Friday,February
7,Unpretentious Michelin star restaurant!,Dr_Taniman,180,2020-02-11,"Totally unpretentious, with really friendly and professional staff. Simply industrial ambiance. The food is great and enjoyable. Very fair prices for a Michelin star place. Wine pairing has room for improvement. Overall... don’t miss this one!",2020-02-01,2,5.0,Tuesday,February
8,World Class Restaurant,Jonathan S,9,2020-02-07,"We arrived about ten minutes late for our reservation and received a very warm welcome and seated right away. The space is modern, well arranged and modern music played at a comfortable level in the background. Most of the team spoke perfect English and did...a wonderful job explaining each dish and the wine paired with it.  Every course was delicious, well presented and well portioned. My wife and I have tried to eat venison dozens of times, without success,and here we had sugar cured, venison tartare and it melted in our mouths. This was our best meal in Paris and well worth the price.More",2020-02-01,1,5.0,Friday,February
9,Fabulous,Tal G,12,2020-02-03,"Came for lunch with my 15-year old son. Loved the ambiance and decor, restaurant had a sunny and inviting vibe, worn wooden tables and plaster-peeling walls. Food was delicious and thoughtful, enjoyed everything we had.",2020-01-01,1,5.0,Monday,February
10,Best restaurant in Paris,theboyfromamsterdam,20,2020-01-28,"Sometimes you just enter a place and you know it's right. Friendly reception, elegant simplicity. No bling, just simple, nice and good. Every plate a pleasure, planted forever in my memory. Impeccable wines. The barbecued chicory with paper-thick lardo served with a bell-pepper and mussel...More",2019-12-01,0,5.0,Tuesday,January
11,Amazing service almost outshines the food,towertobridgetours,25,2019-12-05,"The small blue building on a one way street is hard to find with no real sign and address, but try a little harder and the results are worth it. Each dish opens the palette to a world of adventure. We started with a small...More",2019-12-01,2,5.0,Thursday,December
12,A rare piece of art,aroundtheworld48hour,10,2019-12-02,"I am in Paris a fewtimes every year, and after having tried many times to get a reservation at ""Septime"" unsuccessfully, it finally worked out last week. Paris is a city blessed with quite a few excellent restaurants, so one must wonder how the incredible...More",2019-12-01,1,5.0,Monday,December
13,Special dining experience,jsr19,16,2019-11-29,"We planned ahead and grabbed a reservation for one of our three nights in Paris, and I am so glad we did! Upon arriving we were welcomed and guided to our table in a nearly empty restaurant, within a short bit of time every table...More",2019-10-01,0,5.0,Friday,November
14,Decent but not worth all the hype,hungryblackman,137,2019-11-14,"The wonderful owners of the hotel we’ve stayed in over the last few years were able to get my wife and I a reservation at Septime. It can be quite difficult getting a reservation here, so when the hotel staff were able to do so,...More",2019-11-01,5,3.0,Thursday,November
15,Wonderful 65th birthday,Allen H,62,2019-11-14,The food and wine tasting was a fantastic experience. My daughters and myself celebrated my wife's 65th birthday this week. We had 32 glasses of paired wines for four people and the composite of all the different wines and/or liquors was perfectly complemented to the...More,2019-11-01,1,5.0,Thursday,November
16,Plan your reservation,johntmurray,25,2019-11-05,This was my second visit; did lunch last November; dinner this time; people said impossible to book; difficult not impossible; just be aware of the time difference and book three weeks before you want to attend at the beginning of their work day in Paris;...More,2019-10-01,1,5.0,Tuesday,November
17,Fantastic Meal...Worth Getting Up in the Night to get a Reservation!,emandm21,2,2019-10-27,"To begin with, Septime's website doesn't totally explain how the reservation system works, which was a little confusing.  You actually can only get lunch reservations online and must call the restaurant for dinner reservations.  Their phones open at 10 am Paris time (3 weeks in...More",2019-10-01,1,5.0,Sunday,October
18,Great Experience,collierje,189,2019-10-06,"I'll echo everyone else and agree that reservations are sort of a pain, especially since they have moved to #15 in the world. While I thought it was quite good, I'm not sure it is worthy of that lofty ranking.  The service and space were...More",2019-09-01,1,4.0,Sunday,October
20,Good. Not sure it is quite worth the effort/critical response.,robberbride,11,2019-10-05,"Getting a reservation here is a challenge and frankly I’m not sure it was worth it. Some dishes were truly amazing but overall it was uneven. Service is unpretentious which was nice, and the space is welcoming but since we were there for the food,...More",2019-09-01,5,4.0,Saturday,October
21,Exceptional experience,Laura D,15,2019-09-22,"We went to Septime for lunch, and throughly enjoyed it. Although it is currently considered to be #15 in the world, it has a very warm and welcoming casual atmosphere (not at all pretentious). All the staff were very helpful and spoke excellent English. They...More",2019-08-01,2,5.0,Sunday,September
22,Perfect lunch !,juju a,3,2019-09-21,Wonderful experience and great food . The atmosphere is nice i would definitely come again and recommend this restaurant to my friends.,2019-09-01,0,5.0,Saturday,September
23,An excellent place if you can get a reservation,Juan Manuel V,82,2019-09-21,"We had the fortune of being able to get a reservation at this highly acclaimed and reviewed restaurant in Paris, France.   Currently #15 in the world (whatever that means) in the Top 50 Restaurant list, and 1 Michelin Star, it is certainly one to look...More",2019-09-01,1,5.0,Saturday,September
24,Inadequate prenotation system ,664guiag,2,2019-09-05,I have been very careful about booking deadline but their site didn't work and the bistro was not reachable by phone for all August. They kept us in waiting list (with credit card provided and 190€ fee in case of no-show) till the day before...More,2019-09-01,2,1.0,Thursday,September
25,Superlative,KarenAustin,145,2019-08-10,"We went for lunch.  At the advice of the couple finishing their meal at the table beside us, we did the wine pairing with the multi-course meal.  What an excellent suggestion— one we pass on here.  I can’t say enough good things: excellent, imaginative food;...More",2019-06-01,4,5.0,Saturday,August
26,"A super chill fine dining experience, BUT the restaurant has NO AIR CONDITIONING!!!",maodohsiao,125,2019-08-01,"We went the day before France had the record breaking temperature of 42.7C (109F).  When we started our meal at 7.30PM, it was 39C (102F), and when we ended our meal at 10, it was 37C (98.6F).  It was SO unbelievably hot that it took...More",2019-07-01,1,4.0,Thursday,August
27,A down to earth world class experience!,Allison T,16,2019-06-30,As great luck would have it my friend was able to score a very tough-to-get reservation! From the minute we sat down the unique and delicious dishes along with the incredible wines they recommended were served with a warm smile and a generous spirit. Trés...More,2019-06-01,2,5.0,Sunday,June
28,A Great Place,Verneuil13,320,2019-06-24,"After trying several times to get a table, a friend visiting Paris kindly got one and invited me. I do understand their success.Everything was perfect. The set menu is simply marvelous, light and with the right portions.An incredible flavor's evolution with a sans faute. Service...More",2019-06-01,1,5.0,Monday,June
30,Worth the Effort,lexeth,26,2019-06-23,Not easy to get a reservation but absolutely worth the effort. So yummy. Every course was a creative and interesting. A wonderful experience.,2019-06-01,3,5.0,Sunday,June
31,<3 Septime,elbows_inLA,2,2019-06-16,"We stalked reservations for months - as soon as we confirmed our dates in Paris. We were only able to snag lunch reservations, but I actually think that worked out in our favor. The wait was worth it - this place delivered. Every plate was...More",2018-07-01,0,5.0,Sunday,June
32,I will always remember Septime!,holland23,64,2019-06-07,"Possibly my favorite dining experience ever. I made sure to get up exactly at 4am, exactly 21 days before the day we were to dine to set my reservation and it was so worth it. The staff was extremely friendly and approachable. The restaurant space...More",2019-05-01,3,5.0,Friday,June
33,"six plates, two great and four blahhh",Bonimba55,128,2019-06-04,"I was really disappointed, the place, the ambiance, the service and the wine was was very good but .... the rest was not worth it. 
What can I say, the six plates were very inventive but beside the tuna tartare and the fish main plate...More",2019-05-01,0,2.0,Tuesday,June
34,Relaxed yet refined dining,RJLev,34,2019-05-29,"Having woken up at 4am 3 weeks prior to book the reservation, I was hopeful that Septime would not disappoint.  To jump to the conclusion, it did not!

The food and service was spectacular, and the dishes that were brought were refined and elevated tastes...More",2019-05-01,0,5.0,Wednesday,May
35,Stunning Food and Service,MadamJosephine,762,2019-05-26,"It was a rocky start, we arrived early and were told in no uncertain manner to leave. The restaurant only opens at 7.30pm so don't arrive early or come before your booking time.  We had an extremely charming young lady serve us, who recommended an...More",2019-05-01,0,5.0,Sunday,May
36,Worth the hype? YES!,heatherlyrock,37,2019-05-23,We were worried that Septime would be overhyped because it made all the lists. But we were surprised that the hype was well deserved.  We had a great lunch experience and enjoyed all the dishes. They were skillfully executed.  The common zucchini and the unusual...More,2019-05-01,0,5.0,Thursday,May
37,I really wanted to LOVE this restaurant...,deniseVancouver,37,2019-05-18,I was very excited that I got a lunch reservation after trying hard to get a dinner reservation.  Cute interior.  Acoustics were pretty loud and tables were very close together.  It appeared that the majority of the guests were tourists.  I actually didn't hear any...More,2019-05-01,4,4.0,Saturday,May
38,Had hoped for more,vacationsy,49,2019-05-11,"Septime is an upscale restaurant that is very proper.  We showed up 10 minutes early and they asked that we leave the restaurant as it wasn’t open.  So we took a walk around the block... in the cold damp weather.  

No menu.  You can pick...More",2019-05-01,2,4.0,Saturday,May
40,Delightful!,Tom115511,16,2019-05-07,"Exquisite, inventive food and creative, extensive wine list. Lovely decor, very professional and friendly service. We had the carte blanche set lunch menu and a very good bottle of orange wine (great recommendation from our waitress). The menu included an incredible amuse bouche, generous amounts...More",2019-05-01,0,5.0,Tuesday,May
41,Delicious!,Jennifer O,7,2019-04-27,We had a lovely and absolutely delicious meal at Septime. I also want to commend all the servers--we ate here on the night of the Notre Dame fire which we had just passed in our taxi and were badly shaken up. The restaurant stafff could...More,2019-04-01,0,5.0,Saturday,April
42,I expected more,ManilaGingersnap,168,2019-04-22,"Went on the waitlist when I realised this was close to Atelier Lumiere where we had tickets for the 2pm.  I got a confirmation the day before and was so happy to try this Top 50 Best Restaurant.

The place is cozy,  decor is very...More",2019-04-01,0,3.0,Monday,April
43,"Very good, but probably not worth the price",Cathy R,20,2019-04-07,"We did enjoy our dinner at Septime, but compared with some of the other restaurants in Paris, probably not worth the price tag. Our group of 3 was seated with a group of six at a large table.  I expected that we would have our...More",2019-04-01,0,4.0,Sunday,April
44,Neo-Bistrot Michelin Star done correct.,326h_vardl,88,2019-03-24,We had an amazing experience at Septime. Very cool and different concept with neo-bistrot and nature wine. A lot og vegetarian dishes that also were good. Best was the guineafowl. Just great. Friendly service and reasonable prices for this leven of dining.,2019-03-01,1,5.0,Sunday,March
45,Worth waiting for,s37nyc,36,2019-02-16,"I've had trouble getting a reservation here, even mid-week in the winter.  I used their online system to add myself to the wait list and got in.  The space is beautiful, sleek modern farmstead look that compliments their farm to table approach.  Everyone has the...More",2019-01-01,0,5.0,Saturday,February
46,Go now!,ryu0803,224,2019-02-15,We really enjoyed our dinner at this restaurant. Great atmosphere with friendly and welcoming staff. They served only one set menu plus an optional cheese course. The sommelier suggested nice wines and they also offered wine pairing. Food was refreshing and tasty except the two...More,2019-02-01,0,4.0,Friday,February
47,Best experience ,Anganacca,375,2019-01-08,"We had a wonderful experience. Great taste, great presentation. All the textures, flavors since the starter until the desert. Great chef",2019-01-01,3,5.0,Tuesday,January
48,Deliciously unpretentious,benmiller412,1,2019-01-06,"Oftentimes, French restaurants (especially in Paris), take themselves too seriously, offering fanciful food without much substance. Septime is all substance. Compared to 3-Michelin haute cuisine restaurants in Paris, Septime offers an unpretentious, refined take on French classics. This restaurant is worth every penny and is...More",2018-12-01,1,5.0,Sunday,January
50,Terrible for vegetarians - not what you would expect.,bhavesh k,1,2018-12-13,"I was very excited to try Septime when they said they'd be happy to accommodate vegetarians and vegans, but didn't expect to have the healthiest tasting menu of my life - celery, beets, and more greens for main course, all lacking in flavor. Not an...More",2018-12-01,3,2.0,Thursday,December
51,"Best Meal of a Lifetime, Truly ",sharedvision,386,2018-10-30,"I’m 77 and we have travelled in Europe a fair bit and we do not go to high-end restaurants regularly, but I must say that our meal at Septime at lunch was “” one of the best meals of my life”” and when we return...More",2018-10-01,5,5.0,Tuesday,October
52,Very enjoyable,Monkeybat14,117,2018-10-25,"My first note will be that I can not fault this place at all - service was fantastic and the food very enjoyable.

1 Michelin star - ok seems very very fair indeed.

One of the world's best 50 restaurants - not so sure......... but...More",2018-10-01,1,5.0,Thursday,October
53,You get what you paid for,Henson_8,193,2018-10-21,"Most reasonable wine pairing lunch i ever had, food was simple.. but good will want to try the dinner degustation next time and the seafood place next door. service is 4/5, food 3.5/5, wine served 4/5.if you like wine pairing this is the place for...More",2018-10-01,0,4.0,Sunday,October
